Title,Citations,DOI,Source
Application of decision-making techniques in supplier selection: A systematic review of literature,650,10.1016/j.eswa.2012.12.040,Expert Systems with Applications
"Knowledge sharing, innovation and firm performance",598,10.1016/j.eswa.2012.02.017,Expert Systems with Applications
"A novel hybrid MCDM approach based on fuzzy DEMATEL, fuzzy ANP and fuzzy TOPSIS to evaluate green suppliers",657,10.1016/j.eswa.2011.08.162,Expert Systems with Applications
Expert system methodologies and applications - a decade review from 1995 to 2004,599,10.1016/j.eswa.2004.08.003,Expert Systems with Applications
An improved grey wolf optimizer for solving engineering problems,653,10.1016/j.eswa.2020.113917,Expert Systems with Applications
Risk evaluation approaches in failure mode and effects analysis: A literature review,607,10.1016/j.eswa.2012.08.010,Expert Systems with Applications
Grey system theory-based models in time series prediction,596,10.1016/j.eswa.2009.07.064,Expert Systems with Applications
Survey of Green Vehicle Routing Problem: Past and future trends,592,10.1016/j.eswa.2013.07.107,Expert Systems with Applications
The selection of transport and handling resources in logistics centers using Multi-Attributive Border Approximation area Comparison (MABAC),640,10.1016/j.eswa.2014.11.057,Expert Systems with Applications
Self-driving cars: A survey,573,10.1016/j.eswa.2020.113816,Expert Systems with Applications
Online-SVR for short-term traffic flow prediction under typical and atypical traffic conditions,563,10.1016/j.eswa.2008.07.069,Expert Systems with Applications
Bankruptcy prediction using support vector machine with optimal choice of kernel function parameters,571,10.1016/j.eswa.2004.12.008,Expert Systems with Applications
Intrusion detection by machine learning: A review,553,10.1016/j.eswa.2009.05.029,Expert Systems with Applications
Developing a fuzzy TOPSIS approach based on subjective weights and objective weights,561,10.1016/j.eswa.2008.11.035,Expert Systems with Applications
Fuzzy TOPSIS method based on alpha level sets with an application to bridge risk assessment,572,10.1016/j.eswa.2005.09.040,Expert Systems with Applications
Credit scoring with a data mining approach based on support vector machines,517,10.1016/j.eswa.2006.07.007,Expert Systems with Applications
A review: Knowledge reasoning over knowledge graph,524,10.1016/j.eswa.2019.112948,Expert Systems with Applications
Predicting stock and stock price index movement using Trend Deterministic Data Preparation and machine learning techniques,533,10.1016/j.eswa.2014.07.040,Expert Systems with Applications
Deep learning algorithms for human activity recognition using mobile and wearable sensor networks: State of the art and research challenges,543,10.1016/j.eswa.2018.03.056,Expert Systems with Applications
Neural networks and statistical techniques: A review of applications,538,10.1016/j.eswa.2007.10.005,Expert Systems with Applications
Automatic detection of epileptic seizures in EEG using discrete wavelet transform and approximate entropy,518,10.1016/j.eswa.2007.12.065,Expert Systems with Applications
A review of fuzzy AHP methods for decision-making with subjective judgements,543,10.1016/j.eswa.2020.113738,Expert Systems with Applications
Cluster-based under-sampling approaches for imbalanced data distributions,484,10.1016/j.eswa.2008.06.108,Expert Systems with Applications
An application of support vector machines in bankruptcy prediction model,502,10.1016/j.eswa.2004.08.009,Expert Systems with Applications
Using EEG spectral components to assess algorithms for detecting fatigue,481,10.1016/j.eswa.2007.12.043,Expert Systems with Applications
Improving sentiment analysis via sentence type classification using BiLSTM-CRF and CNN,492,10.1016/j.eswa.2016.10.065,Expert Systems with Applications
A green supplier selection model for high-tech industry,517,10.1016/j.eswa.2008.11.052,Expert Systems with Applications
Weapon selection using the AHP and TOPSIS methods under fuzzy environment,502,10.1016/j.eswa.2008.10.016,Expert Systems with Applications
A performance evaluation model by integrating fuzzy AHP and fuzzy TOPSIS methods,507,10.1016/j.eswa.2010.04.066,Expert Systems with Applications
Least squares twin support vector machines for pattern classification,505,10.1016/j.eswa.2008.09.066,Expert Systems with Applications
A boosted decision tree approach using Bayesian hyper-parameter optimization for credit scoring,492,10.1016/j.eswa.2017.02.017,Expert Systems with Applications
The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients,461,10.1016/j.eswa.2007.12.020,Expert Systems with Applications
Neighborhood classifiers,415,10.1016/j.eswa.2006.10.043,Expert Systems with Applications
Feature selection using Joint Mutual Information Maximisation,465,10.1016/j.eswa.2015.07.007,Expert Systems with Applications
Support vector machines combined with feature selection for breast cancer diagnosis,485,10.1016/j.eswa.2008.01.009,Expert Systems with Applications
INFO: An efficient optimization algorithm based on weighted mean of vectors,508,10.1016/j.eswa.2022.116516,Expert Systems with Applications
Predicting direction of stock price index movement using artificial neural networks and support vector machines: The sample of the Istanbul Stock Exchange,476,10.1016/j.eswa.2010.10.027,Expert Systems with Applications
"An artificial neural network (<i>p</i>, <i>d</i>, <i>q</i>) model for timeseries forecasting",473,10.1016/j.eswa.2009.05.044,Expert Systems with Applications
Surveying stock market forecasting techniques - Part II: Soft computing methods,486,10.1016/j.eswa.2008.07.006,Expert Systems with Applications
A fuzzy VIKOR method for supplier selection based on entropy measure for objective weighting,493,10.1016/j.eswa.2011.03.027,Expert Systems with Applications
Collaborative filtering and deep learning based recommendation system for cold start items,446,10.1016/j.eswa.2016.09.040,Expert Systems with Applications
Fuzzy DEMATEL method for developing supplier selection criteria,486,10.1016/j.eswa.2010.07.114,Expert Systems with Applications
Ensemble of keyword extraction methods and classifiers in text classification,484,10.1016/j.eswa.2016.03.045,Expert Systems with Applications
Graph neural network for traffic forecasting: A survey,482,10.1016/j.eswa.2022.117921,Expert Systems with Applications
EMG feature evaluation for improving myoelectric pattern recognition robustness,468,10.1016/j.eswa.2013.02.023,Expert Systems with Applications
Back propagation neural network with adaptive differential evolution algorithm for time series forecasting,465,10.1016/j.eswa.2014.08.018,Expert Systems with Applications
EEG signals classification using the <i>K</i>-means clustering and a multilayer perceptron neural network model,459,10.1016/j.eswa.2011.04.149,Expert Systems with Applications
Using artificial neural network models in stock market index prediction,442,10.1016/j.eswa.2011.02.068,Expert Systems with Applications
An experimental comparison of classification algorithms for imbalanced credit scoring data sets,435,10.1016/j.eswa.2011.09.033,Expert Systems with Applications
Genetic algorithms approach to feature discretization in artificial neural networks for the prediction of stock price index,439,10.1016/S0957-4174(00)00027-0,Expert Systems with Applications
Fuzzy failure modes and effects analysis by using fuzzy TOPSIS-based fuzzy AHP,433,10.1016/j.eswa.2011.06.044,Expert Systems with Applications
Supplier selection using fuzzy AHP and fuzzy multi-objective linear programming for developing low carbon supply chain,430,10.1016/j.eswa.2012.01.149,Expert Systems with Applications
Data mining techniques and applications - A decade review from 2000 to 2011,405,10.1016/j.eswa.2012.02.063,Expert Systems with Applications
"A comparative study of TF*IDF, LSI and multi-words for text classification",413,10.1016/j.eswa.2010.08.066,Expert Systems with Applications
Machine learning models and bankruptcy prediction,421,10.1016/j.eswa.2017.04.006,Expert Systems with Applications
Chaotic bee colony algorithms for global numerical optimization,417,10.1016/j.eswa.2010.02.042,Expert Systems with Applications
Document-level sentiment classification: An empirical comparison between SVM and ANN,412,10.1016/j.eswa.2012.07.059,Expert Systems with Applications
Facing the cold start problem in recommender systems,404,10.1016/j.eswa.2013.09.005,Expert Systems with Applications
A review of deep learning methods for semantic segmentation of remote sensing imagery,429,10.1016/j.eswa.2020.114417,Expert Systems with Applications
Forecasting the volatility of stock price index: A hybrid model integrating LSTM with multiple GARCH-type models,432,10.1016/j.eswa.2018.03.002,Expert Systems with Applications
Risk evaluation in failure mode and effects analysis using fuzzy weighted geometric mean,408,10.1016/j.eswa.2007.11.028,Expert Systems with Applications
Application of TOPSIS in evaluating initial training aircraft under a fuzzy environment,415,10.1016/j.eswa.2006.07.003,Expert Systems with Applications
Golden jackal optimization: A novel nature-inspired optimizer for engineering applications,430,10.1016/j.eswa.2022.116924,Expert Systems with Applications
Fuzzy multiple attributes group decision-making based on the interval type-2 TOPSIS method,436,10.1016/j.eswa.2009.09.012,Expert Systems with Applications
Knowledge management: Where did it come from and where will it go?,338,10.1016/S0957-4174(97)00018-3,Expert Systems with Applications
Choosing knowledge management strategies by using a combined ANP and DEMATEL approach,412,10.1016/j.eswa.2007.07.025,Expert Systems with Applications
Whale Optimization Algorithm and Moth-Flame Optimization for multilevel thresholding image segmentation,425,10.1016/j.eswa.2017.04.023,Expert Systems with Applications
Sentiment classification of online reviews to travel destinations by supervised machine learning approaches,379,10.1016/j.eswa.2008.07.035,Expert Systems with Applications
A swarm optimization algorithm inspired in the behavior of the social-spider,399,10.1016/j.eswa.2013.05.041,Expert Systems with Applications
Computer-aided diagnosis of human brain tumor through MRI: A survey and a new algorithm,414,10.1016/j.eswa.2014.01.021,Expert Systems with Applications
Gaussian quantum-behaved particle swarm optimization approaches for constrained engineering design problems,406,10.1016/j.eswa.2009.06.044,Expert Systems with Applications
Deep learning approaches for COVID-19 detection based on chest X-ray images,417,10.1016/j.eswa.2020.114054,Expert Systems with Applications
Effective data generation for imbalanced learning using conditional generative adversarial networks,375,10.1016/j.eswa.2017.09.030,Expert Systems with Applications
"Deep learning networks for stock market analysis and prediction: Methodology, data representations, and case studies",400,10.1016/j.eswa.2017.04.030,Expert Systems with Applications
Knowledge sharing behavior of physicians in hospitals,375,10.1016/S0957-4174(03)00011-3,Expert Systems with Applications
A review and comparison of strategies for multi-step ahead time series forecasting based on the NN5 forecasting competition,392,10.1016/j.eswa.2012.01.039,Expert Systems with Applications
Group decision making process for supplier selection with VIKOR under fuzzy environment,381,10.1016/j.eswa.2009.04.063,Expert Systems with Applications
Detection of epileptic electroencephalogram based on Permutation Entropy and Support Vector Machines,381,10.1016/j.eswa.2011.07.008,Expert Systems with Applications
Educational data mining: A survey and a data mining-based analysis of recent works,359,10.1016/j.eswa.2013.08.042,Expert Systems with Applications
Fuzzy VIKOR with an application to water resources planning,382,10.1016/j.eswa.2011.04.097,Expert Systems with Applications
Evaluation of hazardous waste transportation firms by using a two step fuzzy-AHP and TOPSIS methodology,376,10.1016/j.eswa.2008.03.013,Expert Systems with Applications
A fuzzy AHP and BSC approach for evaluating performance of IT department in the manufacturing industry in Taiwan,373,10.1016/j.eswa.2006.08.022,Expert Systems with Applications
A causal analytical method for group decision-making under fuzzy environment,375,10.1016/j.eswa.2006.08.012,Expert Systems with Applications
A literature review and classification of recommender systems research,376,10.1016/j.eswa.2012.02.038,Expert Systems with Applications
Context-aware systems: A literature review and classification,349,10.1016/j.eswa.2008.10.071,Expert Systems with Applications
Bio inspired computing - A review of algorithms and scope of applications,369,10.1016/j.eswa.2016.04.018,Expert Systems with Applications
An effective genetic algorithm for the flexible job-shop scheduling problem,332,10.1016/j.eswa.2010.08.145,Expert Systems with Applications
More than words: Social networks' text mining for consumer brand sentiments,342,10.1016/j.eswa.2013.01.019,Expert Systems with Applications
Recurrent neural networks employing Lyapunov exponents for EEG signals classification,357,10.1016/j.eswa.2005.04.011,Expert Systems with Applications
A Bayesian regularized artificial neural network for stock market forecasting,345,10.1016/j.eswa.2013.04.013,Expert Systems with Applications
Feature selection for text classification with Naive Bayes,337,10.1016/j.eswa.2008.06.054,Expert Systems with Applications
Text mining for market prediction: A systematic review,350,10.1016/j.eswa.2014.06.009,Expert Systems with Applications
"Multiple regression, ANN (RBF, MLP) and ANFIS models for prediction of swell potential of clayey soils",363,10.1016/j.eswa.2010.11.027,Expert Systems with Applications
A comparative assessment of ensemble learning for credit scoring,347,10.1016/j.eswa.2010.06.048,Expert Systems with Applications
The application of Fuzzy Delphi Method and Fuzzy AHP in lubricant regenerative technology selection,350,10.1016/j.eswa.2009.05.068,Expert Systems with Applications
An approach to fault diagnosis of reciprocating compressor valves using Teager-Kaiser energy operator and deep belief networks,319,10.1016/j.eswa.2013.12.026,Expert Systems with Applications
Computational Intelligence and Financial Markets: A Survey and Future Directions,354,10.1016/j.eswa.2016.02.006,Expert Systems with Applications
Cuckoo search algorithm and wind driven optimization based study of satellite image segmentation for multilevel thresholding using Kapur's entropy,359,10.1016/j.eswa.2013.10.059,Expert Systems with Applications
An automated system for epilepsy detection using EEG brain signals based on deep learning approach,351,10.1016/j.eswa.2018.04.021,Expert Systems with Applications
Knowledge sharing in virtual communities: an e-business perspective,319,10.1016/S0957-4174(03)00116-7,Expert Systems with Applications
Sentiment analysis on social media for stock movement prediction,326,10.1016/j.eswa.2015.07.052,Expert Systems with Applications
Intuitionistic fuzzy Choquet integral operator for multi-criteria decision making,339,10.1016/j.eswa.2009.05.005,Expert Systems with Applications
A robust arbitrary text detection system for natural scene images,331,10.1016/j.eswa.2014.07.008,Expert Systems with Applications
Data mining techniques for the detection of fraudulent financial statements,311,10.1016/j.eswa.2006.02.016,Expert Systems with Applications
Deep Learning for Aspect-Based Sentiment Analysis: A Comparative Review,344,10.1016/j.eswa.2018.10.003,Expert Systems with Applications
Intuitionistic fuzzy based DEMATEL method for developing green practices and performances in a green supply chain,351,10.1016/j.eswa.2015.04.030,Expert Systems with Applications
Supplier selection using AHP methodology extended by D numbers,326,10.1016/j.eswa.2013.07.018,Expert Systems with Applications
Using neural network ensembles for bankruptcy prediction and credit scoring,328,10.1016/j.eswa.2007.05.019,Expert Systems with Applications
Mobile technology acceptance model: An investigation using mobile users to explore smartphone credit card,326,10.1016/j.eswa.2016.04.015,Expert Systems with Applications
A new approach to intelligent fault diagnosis of rotating machinery,296,10.1016/j.eswa.2007.08.072,Expert Systems with Applications
A new image classification method using CNN transfer learning and web data augmentation,316,10.1016/j.eswa.2017.11.028,Expert Systems with Applications
Handling class imbalance in customer churn prediction,301,10.1016/j.eswa.2008.05.027,Expert Systems with Applications
Intelligent prognostics for battery health monitoring based on sample entropy,297,10.1016/j.eswa.2011.03.063,Expert Systems with Applications
Improving BCI-based emotion recognition by combining EEG feature selection and kernel classifiers,323,10.1016/j.eswa.2015.10.049,Expert Systems with Applications
An improved Opposition-Based Sine Cosine Algorithm for global optimization,333,10.1016/j.eswa.2017.07.043,Expert Systems with Applications
Enhancing deep learning sentiment analysis with ensemble techniques in social applications,329,10.1016/j.eswa.2017.02.002,Expert Systems with Applications
Breast cancer diagnosis based on feature extraction using a hybrid of K-means and support vector machine algorithms,325,10.1016/j.eswa.2013.08.044,Expert Systems with Applications
Binary grasshopper optimisation algorithm approaches for feature selection problems,325,10.1016/j.eswa.2018.09.015,Expert Systems with Applications
Multicriteria decision making in energy planning using a modified fuzzy TOPSIS methodology,323,10.1016/j.eswa.2010.11.081,Expert Systems with Applications
Fault diagnosis of ball bearings using machine learning methods,321,10.1016/j.eswa.2010.07.119,Expert Systems with Applications
Classification of sentiment reviews using n-gram machine learning approach,320,10.1016/j.eswa.2016.03.028,Expert Systems with Applications
Applying neural network analysis on heart rate variability data to assess driver fatigue,288,10.1016/j.eswa.2010.12.028,Expert Systems with Applications
Predicting the determinants of the NFC-enabled mobile credit card acceptance: A neural networks approach,317,10.1016/j.eswa.2013.04.018,Expert Systems with Applications
Gray relational analysis method for intuitionistic fuzzy multiple attribute decision making,311,10.1016/j.eswa.2011.03.048,Expert Systems with Applications
Consumer neuroscience: Assessing the brain response to marketing stimuli using electroencephalogram (EEG) and eye tracking,300,10.1016/j.eswa.2012.12.095,Expert Systems with Applications
A bibliometric-based survey on AHP and TOPSIS techniques,309,10.1016/j.eswa.2017.02.016,Expert Systems with Applications
A state-of the-art survey & testbed of fuzzy AHP (FAHP) applications,309,10.1016/j.eswa.2016.08.064,Expert Systems with Applications
A new hybrid Modified Firefly Algorithm and Support Vector Regression model for accurate Short Term Load Forecasting,316,10.1016/j.eswa.2014.03.053,Expert Systems with Applications
A review of machine learning approaches to Spam filtering,281,10.1016/j.eswa.2009.02.037,Expert Systems with Applications
Machine learning and data mining in manufacturing,318,10.1016/j.eswa.2020.114060,Expert Systems with Applications
Classification of epileptic seizures in EEG signals based on phase space representation of intrinsic mode functions,315,10.1016/j.eswa.2014.08.030,Expert Systems with Applications
Automatic text summarization: A comprehensive survey,316,10.1016/j.eswa.2020.113679,Expert Systems with Applications
Intelligent tourism recommender systems: A survey,303,10.1016/j.eswa.2014.06.007,Expert Systems with Applications
Using multi-objective genetic algorithm for partner selection in green supply chain problems,308,10.1016/j.eswa.2010.09.091,Expert Systems with Applications
A causal and effect decision making model of service quality expectation using grey-fuzzy DEMATEL approach,318,10.1016/j.eswa.2008.09.011,Expert Systems with Applications
Cloud computing service composition: A systematic literature review,295,10.1016/j.eswa.2013.12.017,Expert Systems with Applications
Prioritization of human capital measurement indicators using fuzzy AHP,310,10.1016/j.eswa.2006.02.006,Expert Systems with Applications
An expert system for detection of breast cancer based on association rules and neural network,294,10.1016/j.eswa.2008.02.064,Expert Systems with Applications
Binary butterfly optimization approaches for feature selection,313,10.1016/j.eswa.2018.08.051,Expert Systems with Applications
Twitter brand sentiment analysis: A hybrid system using <i>n</i>-gram analysis and dynamic artificial neural network,291,10.1016/j.eswa.2013.05.057,Expert Systems with Applications
Predicting stock market index using fusion of machine learning techniques,302,10.1016/j.eswa.2014.10.031,Expert Systems with Applications
Chinese comments sentiment classification based on word2vec and SVM<SUP><i>perf</i> </SUP>,274,10.1016/j.eswa.2014.09.011,Expert Systems with Applications
Knowledge management technologies and applications - literature review from 1995 to 2002,287,10.1016/S0957-4174(03)00043-5,Expert Systems with Applications
A novel hybrid intrusion detection method integrating anomaly detection with misuse detection,292,10.1016/j.eswa.2013.08.066,Expert Systems with Applications
A new approach to intrusion detection using Artificial Neural Networks and fuzzy clustering,294,10.1016/j.eswa.2010.02.102,Expert Systems with Applications
The use of machine learning algorithms in recommender systems: A systematic review,318,10.1016/j.eswa.2017.12.020,Expert Systems with Applications
Evaluating multiple classifiers for stock price direction prediction,296,10.1016/j.eswa.2015.05.013,Expert Systems with Applications
Prediction of the strength of mineral admixture concrete using multivariable regression analysis and an artificial neural network,297,10.1016/j.eswa.2011.01.156,Expert Systems with Applications
A systematic review of software fault prediction studies,288,10.1016/j.eswa.2008.10.027,Expert Systems with Applications
Performance evaluation of Turkish cement firms with fuzzy analytic hierarchy process and TOPSIS methods,298,10.1016/j.eswa.2007.10.014,Expert Systems with Applications
Prediction of compressive and tensile strength of limestone via genetic programming,278,10.1016/j.eswa.2007.06.006,Expert Systems with Applications
A survey and performance evaluation of deep learning methods for small object detection,289,10.1016/j.eswa.2021.114602,Expert Systems with Applications
Joint entity recognition and relation extraction as a multi-head selection problem,256,10.1016/j.eswa.2018.07.032,Expert Systems with Applications
Efficient agglomerative hierarchical clustering,287,10.1016/j.eswa.2014.09.054,Expert Systems with Applications
Bearing fault diagnosis using multi-scale entropy and adaptive neuro-fuzzy inference,273,10.1016/j.eswa.2010.02.118,Expert Systems with Applications
Multicriteria fuzzy decision-making method based on a novel accuracy function under interval-valued intuitionistic fuzzy environment,292,10.1016/j.eswa.2008.08.042,Expert Systems with Applications
Applying data mining to telecom chum management,269,10.1016/j.eswa.2005.09.080,Expert Systems with Applications
Multi-objective multi-robot path planning in continuous environment using an enhanced genetic algorithm,275,10.1016/j.eswa.2018.08.008,Expert Systems with Applications
Breast cancer classification using deep belief networks,283,10.1016/j.eswa.2015.10.015,Expert Systems with Applications
Recurrent neural network and a hybrid model for prediction of stock returns,287,10.1016/j.eswa.2014.12.003,Expert Systems with Applications
Genetic algorithm-based heuristic for feature selection in credit risk assessment,294,10.1016/j.eswa.2013.09.004,Expert Systems with Applications
Machine learning based phishing detection from URLs,295,10.1016/j.eswa.2018.09.029,Expert Systems with Applications
ACROA: Artificial Chemical Reaction Optimization Algorithm for global optimization,304,10.1016/j.eswa.2011.04.126,Expert Systems with Applications
Knowledge management strategy and its link to knowledge creation process,260,10.1016/S0957-4174(02)00038-6,Expert Systems with Applications
A personalized recommender system based on web usage mining and decision tree induction,274,10.1016/S0957-4174(02)00052-0,Expert Systems with Applications
Power load forecasting using support vector machine and ant colony optimization,295,10.1016/j.eswa.2009.08.019,Expert Systems with Applications
CNNpred: CNN-based stock market prediction using a diverse set of variables,289,10.1016/j.eswa.2019.03.029,Expert Systems with Applications
EEMD method and WNN for fault diagnosis of locomotive roller bearings,260,10.1016/j.eswa.2010.12.095,Expert Systems with Applications
Fuzzy AHP approach for supplier selection in a washing machine company,269,10.1016/j.eswa.2011.01.159,Expert Systems with Applications
A novel intrusion detection system based on hierarchical clustering and support vector machines,272,10.1016/j.eswa.2010.06.066,Expert Systems with Applications
Prediction of surface roughness in the end milling machining using Artificial Neural Network,284,10.1016/j.eswa.2009.07.033,Expert Systems with Applications
An up-to-date comparison of state-of-the-art classification algorithms,294,10.1016/j.eswa.2017.04.003,Expert Systems with Applications
Effective diagnosis of heart disease through neural networks ensembles,286,10.1016/j.eswa.2008.09.013,Expert Systems with Applications
MIFS-ND: A mutual information-based feature selection method,272,10.1016/j.eswa.2014.04.019,Expert Systems with Applications
Chameleon Swarm Algorithm: A bio-inspired optimizer for solving engineering design problems,289,10.1016/j.eswa.2021.114685,Expert Systems with Applications
Project selection for oil-fields development by using the AHP and fuzzy TOPSIS methods,284,10.1016/j.eswa.2010.02.103,Expert Systems with Applications
A deep learning approach for real-time detection of atrial fibrillation,276,10.1016/j.eswa.2018.08.011,Expert Systems with Applications
The use of data mining and neural networks for forecasting stock market returns,271,10.1016/j.eswa.2005.06.024,Expert Systems with Applications
An overview of fault tree analysis and its application in model based dependability analysis,266,10.1016/j.eswa.2017.01.058,Expert Systems with Applications
Predicting m-commerce adoption determinants: A neural network approach,261,10.1016/j.eswa.2012.07.068,Expert Systems with Applications
Stock market prediction of S&P 500 via combination of improved BCO approach and BP neural network,276,10.1016/j.eswa.2008.11.028,Expert Systems with Applications
Churn prediction in subscription services: An application of support vector machines while comparing two parameter-selection techniques,258,10.1016/j.eswa.2006.09.038,Expert Systems with Applications
A real-valued genetic algorithm to optimize the parameters of support vector machine for predicting bankruptcy,271,10.1016/j.eswa.2005.12.008,Expert Systems with Applications
Risk evaluation in failure mode and effects analysis with extended VIKOR method under fuzzy environment,274,10.1016/j.eswa.2012.05.031,Expert Systems with Applications
Plant species identification using digital morphometrics: A review,270,10.1016/j.eswa.2012.01.073,Expert Systems with Applications
An empirical study of sentiment analysis for chinese documents,257,10.1016/j.eswa.2007.05.028,Expert Systems with Applications
Benign and malignant breast tumors classification based on region growing and CNN segmentation,272,10.1016/j.eswa.2014.09.020,Expert Systems with Applications
Turning telecommunications call details to churn prediction: a data mining approach,253,10.1016/S0957-4174(02)00030-1,Expert Systems with Applications
Long term supplier selection using a combined fuzzy MCDM approach: A case study for a telecommunication company,276,10.1016/j.eswa.2008.02.045,Expert Systems with Applications
Neural networks in business: a survey of applications (1992-1998),279,10.1016/S0957-4174(99)00016-0,Expert Systems with Applications
Hybrid genetic algorithms and support vector machines for bankruptcy prediction,271,10.1016/j.eswa.2005.09.070,Expert Systems with Applications
Improved Salp Swarm Algorithm based on opposition based learning and novel local search algorithm for feature selection,288,10.1016/j.eswa.2019.113122,Expert Systems with Applications
"Selecting management systems for sustainable development in SMEs: A novel hybrid model based on DEMATEL, ANP, and ZOGP",257,10.1016/j.eswa.2007.11.058,Expert Systems with Applications
"Fake news, rumor, information pollution in social media and web: A contemporary survey of state-of-the-arts, challenges and opportunities",276,10.1016/j.eswa.2019.112986,Expert Systems with Applications
An intelligent intrusion detection system (IDS) for anomaly and misuse detection in computer networks,257,10.1016/j.eswa.2005.05.002,Expert Systems with Applications
A review of data mining applications for quality improvement in manufacturing industry,266,10.1016/j.eswa.2011.04.063,Expert Systems with Applications
The integrated methodology of rough set theory and artificial neural network for business failure prediction,251,10.1016/S0957-4174(99)00053-6,Expert Systems with Applications
Measuring firm performance using financial ratios: A decision tree approach,215,10.1016/j.eswa.2013.01.012,Expert Systems with Applications
A hybrid approach of differential evolution and artificial bee colony for feature selection,277,10.1016/j.eswa.2016.06.004,Expert Systems with Applications
Hybrid Nelder-Mead simplex search and particle swarm optimization for constrained engineering design problems,270,10.1016/j.eswa.2008.02.039,Expert Systems with Applications
Multi-level hybrid support vector machine and extreme learning machine based on modified K-means for intrusion detection system,262,10.1016/j.eswa.2016.09.041,Expert Systems with Applications
A fuzzy MCDM approach for evaluating banking performance based on Balanced Scorecard,267,10.1016/j.eswa.2009.01.005,Expert Systems with Applications
"A fuzzy supplier selection model with the consideration of benefits, opportunities, costs and risks",257,10.1016/j.eswa.2008.01.045,Expert Systems with Applications
Artificial neural network and wavelet neural network approaches for modelling of a solar air heater,279,10.1016/j.eswa.2009.02.073,Expert Systems with Applications
Ontology-based semantic similarity: A new feature-based approach,256,10.1016/j.eswa.2012.01.082,Expert Systems with Applications
Red fox optimization algorithm,282,10.1016/j.eswa.2020.114107,Expert Systems with Applications
Short-term load forecasting using lifting scheme and ARIMA models,265,10.1016/j.eswa.2010.11.033,Expert Systems with Applications
Literature review: Machine learning techniques applied to financial market prediction,270,10.1016/j.eswa.2019.01.012,Expert Systems with Applications
A two-stage hybrid credit scoring model using artificial neural networks and multivariate adaptive regression splines,246,10.1016/j.eswa.2004.12.031,Expert Systems with Applications
"Modified artificial bee colony based computationally efficient multilevel thresholding for satellite image segmentation using Kapur's, Otsu and Tsallis functions",264,10.1016/j.eswa.2014.09.049,Expert Systems with Applications
A fuzzy AHP-TOPSIS framework for ranking the solutions of Knowledge Management adoption in Supply Chain to overcome its barriers,267,10.1016/j.eswa.2013.07.093,Expert Systems with Applications
